Sezon;Przychody_tys_eur;Place_tys_eur;Amortyzacja_graczy_tys_eur;Dlug_dlugoterminowy_mln_eur;Dlug_netto_LFP_mln_eur;COVID_dummy;Bilans_TransferowyMln
2010/11;417126;240646;56347;110;;0;-19,8
2011/12;439179;233312;61298;117;;0;-13,05
2012/13;445730;237817;59582;63;;0;-32,5
2013/14;530000;286000;65000;39;;0;-72,9
2014/15;504561;349539;55797;81;;0;-84,92
2015/16;556780;371735;59699;31;;0;-12,7
2016/17;638189;377934;67045;54;;0;-90,95
2017/18;686471;529121;118676;189;;0;-155,6
2018/19;836730;541920;145528;512;;0;4,95
2019/20;708257;487120;174020;443;;1;-149,6
2020/21;575447;489590;154906;554;680;1;42,46
2021/22;627986;457246;139136;824;608;1;25,86
2022/23;795927;625723;88875;;552;0;
2023/24;894000;472719;76273;;559;0;
2024/25;994000;511001;74790;;469;0;
